                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.348,                 1.9385,                 1.1196,                0.89715,                0.49987,                0.50968,                 0.3318,                 1.0393,                0.71841,                0.99049,             0.00046953,             0.00046953,             0.00046953
                      2,                 1.0818,                0.78982,                0.98559,                 0.9133,                0.53028,                0.54518,                0.35206,                0.94377,                0.68679,                0.96053,             0.00090841,             0.00090841,             0.00090841
                      3,                 1.1052,                0.70846,                0.97466,                0.93012,                0.52503,                0.56047,                0.38109,                 1.0003,                0.61503,                0.97703,              0.0013096,              0.0013096,              0.0013096
                      4,                 1.0665,                0.66554,                0.96501,                0.83867,                0.45298,                0.44793,                0.28517,                0.98571,                 1.0114,                0.95875,              0.0012592,              0.0012592,              0.0012592
                      5,                  1.125,                0.65807,                0.98651,                0.97182,                 0.5401,                 0.5854,                0.38611,                 1.0913,                 0.5607,                0.99047,              0.0012592,              0.0012592,              0.0012592
                      6,                0.98848,                0.58819,                0.95545,                0.95776,                0.52756,                0.57456,                 0.3941,                0.89835,                0.55173,                0.94377,              0.0012026,              0.0012026,              0.0012026
                      7,                0.99027,                0.56872,                0.95951,                 0.9733,                0.54136,                0.58646,                0.40797,                 1.0786,                 0.5356,                0.98583,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.0426,                0.60845,                0.96986,                0.61789,                0.52945,                0.57012,                0.40069,                0.97109,                 0.5158,                0.95739,              0.0010895,              0.0010895,              0.0010895
                      9,                0.98243,                0.54624,                0.94616,                0.64247,                0.53757,                0.57981,                0.41544,                0.89429,                0.49815,                0.93392,              0.0010329,              0.0010329,              0.0010329
                     10,                0.93868,                0.51936,                0.93334,                0.65001,                0.54505,                 0.5829,                0.40921,                0.88447,                0.47986,                0.93923,             0.00097629,             0.00097629,             0.00097629
                     11,                0.94753,                0.52701,                0.93945,                 0.6518,                0.54482,                0.59055,                0.43368,                0.88153,                0.47745,                0.92814,              0.0009197,              0.0009197,              0.0009197
                     12,                0.91793,                0.49264,                0.93169,                0.65441,                0.54685,                 0.5928,                0.44562,                0.81064,                0.44532,                0.90879,             0.00086312,             0.00086312,             0.00086312
                     13,                0.90491,                0.47578,                0.91808,                0.65318,                0.53977,                0.59101,                0.43932,                 0.8712,                0.43912,                0.92282,             0.00080653,             0.00080653,             0.00080653
                     14,                0.90999,                0.48022,                0.92419,                0.64407,                0.54589,                0.58822,                0.44563,                0.80593,                0.44237,                0.91154,             0.00074994,             0.00074994,             0.00074994
                     15,                 0.8964,                0.46376,                0.91781,                0.65096,                0.54615,                0.58829,                0.43348,                0.86336,                0.42418,                0.91664,             0.00069335,             0.00069335,             0.00069335
                     16,                0.91334,                0.59198,                0.95741,                0.64099,                0.54837,                0.58303,                0.43828,                0.78171,                0.50153,                0.90201,             0.00063676,             0.00063676,             0.00063676
                     17,                0.88246,                0.53296,                0.92782,                0.64496,                0.54476,                0.58111,                0.42097,                0.99034,                0.47949,                0.94631,             0.00058017,             0.00058017,             0.00058017
                     18,                0.91069,                0.54224,                0.93589,                0.64724,                0.54806,                0.58463,                0.44122,                0.78597,                  0.451,                0.90182,             0.00052359,             0.00052359,             0.00052359
                     19,                 0.8948,                0.46988,                0.95504,                0.64383,                0.55252,                0.58336,                0.43094,                 0.8602,                0.43835,                 0.9215,               0.000467,               0.000467,               0.000467
                     20,                0.88798,                0.47769,                0.93924,                0.64563,                0.55042,                0.58171,                0.42904,                 0.8903,                0.45022,                0.91979,             0.00041041,             0.00041041,             0.00041041
                     21,                0.83984,                  0.439,                0.91703,                 0.6494,                 0.5473,                0.58343,                0.44305,                0.83035,                 0.4296,                0.90479,             0.00035382,             0.00035382,             0.00035382
                     22,                0.84188,                0.43356,                0.91754,                0.64884,                0.54597,                0.58359,                0.44261,                0.84436,                0.42661,                0.90844,             0.00029723,             0.00029723,             0.00029723
                     23,                0.84273,                0.44083,                0.91701,                0.64499,                0.55262,                0.58478,                0.44281,                0.83362,                0.41278,                0.90514,             0.00024064,             0.00024064,             0.00024064
                     24,                0.83621,                0.41361,                0.91111,                0.64839,                0.55063,                0.58473,                0.44605,                0.78581,                0.39619,                0.89442,             0.00018406,             0.00018406,             0.00018406
                     25,                0.84289,                0.41702,                 0.9186,                0.64577,                0.55132,                0.58415,                 0.4485,                0.77592,                 0.3986,                0.89079,             0.00012747,             0.00012747,             0.00012747
