                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1416,                 1.2567,                 1.0457,                0.95716,                0.54543,                0.59315,                0.41792,                0.89405,                0.56467,                0.97567,             0.00047233,             0.00047233,             0.00047233
                      2,                 1.0015,                0.57847,                0.95603,                 0.9704,                 0.5615,                0.60298,                0.43759,                0.87758,                0.50519,                 0.9606,             0.00093927,             0.00093927,             0.00093927
                      3,                0.96194,                0.54597,                0.95307,                0.63686,                 0.5568,                0.59855,                0.43463,                0.83266,                0.52923,                 0.9429,              0.0013968,              0.0013968,              0.0013968
                      4,                0.98172,                0.53699,                0.95094,                0.63942,                 0.5584,                0.59595,                0.44877,                0.82346,                0.46118,                0.95151,              0.0013866,              0.0013866,              0.0013866
                      5,                0.93974,                0.51787,                0.93831,                0.63699,                0.56973,                0.59857,                0.45067,                0.88346,                0.46549,                0.95041,              0.0013866,              0.0013866,              0.0013866
                      6,                0.89029,                0.47814,                0.91971,                0.64166,                0.57509,                0.60478,                0.48237,                 0.7582,                0.41772,                0.92087,              0.0013724,              0.0013724,              0.0013724
                      7,                0.89583,                0.46494,                0.92847,                0.64461,                0.56981,                0.59823,                0.45075,                0.87888,                0.43523,                0.95826,              0.0013583,              0.0013583,              0.0013583
                      8,                0.89223,                0.45049,                0.91397,                0.64091,                0.57442,                0.60249,                 0.4742,                0.77146,                 0.4035,                0.92488,              0.0013441,              0.0013441,              0.0013441
                      9,                0.87308,                0.45196,                0.91919,                0.97775,                0.57515,                0.60412,                0.47615,                0.75449,                0.38691,                0.91545,                0.00133,                0.00133,                0.00133
                     10,                0.84925,                0.43421,                0.90602,                0.97723,                0.57588,                0.61465,                0.49495,                0.74737,                0.38091,                0.90929,              0.0013158,              0.0013158,              0.0013158
                     11,                 0.8371,                0.42927,                0.90548,                0.97762,                0.57555,                0.63187,                0.50812,                0.74403,                0.37775,                0.90776,              0.0013017,              0.0013017,              0.0013017
                     12,                0.83192,                0.42955,                0.89686,                0.95428,                0.58225,                0.62881,                0.49607,                0.75164,                0.38912,                0.91491,              0.0012875,              0.0012875,              0.0012875
                     13,                0.81372,                0.41805,                0.89847,                0.76598,                0.59664,                0.62267,                0.49575,                0.77248,                0.38525,                0.91292,              0.0012734,              0.0012734,              0.0012734
                     14,                0.83083,                0.41378,                0.89818,                 0.9558,                0.60259,                0.63577,                0.49897,                0.75531,                0.37996,                0.90764,              0.0012592,              0.0012592,              0.0012592
