                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58689,                0.26476,                0.83177,                0.91422,                0.64888,                0.70152,                0.60335,                0.57166,                0.24654,                0.85117,             0.00047336,             0.00047336,             0.00047336
                      2,                0.60393,                0.28081,                 0.8349,                0.90043,                0.65637,                0.70166,                0.60161,                 0.5936,                0.26717,                0.85672,             0.00094029,             0.00094029,             0.00094029
                      3,                0.62199,                0.29388,                0.84036,                 0.9109,                0.65527,                0.69928,                0.59813,                0.59492,                0.27186,                0.85697,              0.0013978,              0.0013978,              0.0013978
                      4,                 0.6177,                0.29235,                0.84004,                0.85918,                0.67059,                0.70982,                0.60986,                0.58009,                 0.2608,                0.85121,              0.0013866,              0.0013866,              0.0013866
                      5,                0.60892,                0.28554,                0.83833,                0.90436,                0.67168,                0.71083,                0.61696,                0.58104,                0.26449,                0.85348,              0.0013866,              0.0013866,              0.0013866
                      6,                0.61138,                0.28598,                0.83844,                0.91707,                0.67046,                0.71405,                 0.6181,                0.57336,                0.25929,                 0.8518,              0.0013724,              0.0013724,              0.0013724
                      7,                0.62038,                0.28925,                0.83956,                 0.9095,                0.65326,                0.70159,                0.60342,                0.58472,                0.26742,                0.85598,              0.0013583,              0.0013583,              0.0013583
                      8,                0.62663,                0.29556,                0.84128,                 0.8959,                0.63686,                0.70641,                0.60086,                0.59115,                0.26388,                 0.8579,              0.0013441,              0.0013441,              0.0013441
                      9,                0.62431,                0.29124,                0.84092,                0.84432,                0.63829,                0.70399,                0.60008,                 0.5895,                0.26337,                 0.8563,                0.00133,                0.00133,                0.00133
                     10,                0.62751,                0.28943,                0.83758,                0.78169,                0.65736,                0.68502,                0.59379,                0.57094,                0.25783,                0.85129,              0.0013158,              0.0013158,              0.0013158
                     11,                0.62081,                0.28675,                0.83915,                0.85982,                0.66848,                0.71167,                0.61022,                0.58391,                0.25966,                0.85676,              0.0013017,              0.0013017,              0.0013017
                     12,                0.61409,                0.28122,                 0.8372,                0.86397,                0.64815,                0.68853,                0.59221,                0.58476,                0.25822,                0.85419,              0.0012875,              0.0012875,              0.0012875
                     13,                0.61782,                0.28404,                0.83834,                0.89617,                0.63972,                0.68668,                0.59318,                0.58904,                0.25778,                0.85567,              0.0012734,              0.0012734,              0.0012734
                     14,                 0.6113,                0.28776,                0.83824,                0.85848,                0.64991,                0.68634,                0.59191,                0.57832,                0.25735,                0.85268,              0.0012592,              0.0012592,              0.0012592
                     15,                0.60877,                0.27967,                0.83845,                0.90442,                0.65599,                 0.7301,                0.62425,                0.58615,                0.26155,                0.85344,              0.0012451,              0.0012451,              0.0012451
                     16,                0.61771,                0.28518,                0.83794,                0.89734,                0.65126,                0.70351,                0.60477,                0.58797,                0.25696,                0.85464,              0.0012309,              0.0012309,              0.0012309
                     17,                0.61293,                0.28241,                 0.8406,                0.90491,                0.65171,                0.68972,                0.60219,                0.57515,                0.25592,                0.85161,              0.0012168,              0.0012168,              0.0012168
                     18,                0.60744,                0.28197,                0.83831,                0.90515,                0.65538,                0.70981,                0.60334,                0.57743,                0.26414,                0.85328,              0.0012026,              0.0012026,              0.0012026
                     19,                0.61008,                0.28444,                0.84013,                0.83653,                0.67093,                0.69148,                 0.5817,                  0.604,                0.26115,                0.85753,              0.0011885,              0.0011885,              0.0011885
                     20,                0.61932,                0.28915,                0.83873,                0.85935,                 0.6568,                0.69511,                0.59369,                0.57722,                 0.2637,                0.85366,              0.0011744,              0.0011744,              0.0011744
                     21,                0.61589,                0.28602,                0.83785,                0.91261,                0.64915,                0.68039,                0.58689,                 0.5793,                0.26037,                0.85328,              0.0011602,              0.0011602,              0.0011602
                     22,                0.62329,                0.28372,                0.83791,                0.82268,                0.65729,                0.68887,                0.58709,                0.58617,                0.26096,                0.85569,              0.0011461,              0.0011461,              0.0011461
                     23,                0.61928,                 0.2859,                0.83769,                0.90441,                 0.6467,                 0.7101,                0.61134,                0.58094,                0.26439,                0.85357,              0.0011319,              0.0011319,              0.0011319
                     24,                0.61746,                0.28242,                0.84021,                0.83384,                0.65782,                0.70007,                0.60793,                0.57766,                0.25891,                0.85183,              0.0011178,              0.0011178,              0.0011178
                     25,                0.59683,                0.27957,                0.83616,                0.91145,                0.64918,                 0.7071,                 0.6091,                0.57999,                0.26006,                0.85446,              0.0011036,              0.0011036,              0.0011036
                     26,                 0.6103,                0.28054,                0.83568,                0.91755,                 0.6706,                0.71206,                0.60805,                0.58253,                0.25818,                0.85406,              0.0010895,              0.0010895,              0.0010895
                     27,                0.61436,                0.27939,                0.83804,                0.82675,                 0.6581,                0.68984,                0.59929,                0.58252,                0.25707,                0.85507,              0.0010753,              0.0010753,              0.0010753
                     28,                0.60267,                 0.2765,                0.83386,                0.91303,                0.65277,                0.70426,                0.61404,                0.56717,                0.24937,                 0.8501,              0.0010612,              0.0010612,              0.0010612
                     29,                 0.5981,                0.27319,                0.84152,                0.90586,                0.64357,                0.69547,                 0.5986,                 0.5786,                 0.2537,                0.85333,               0.001047,               0.001047,               0.001047
                     30,                0.59642,                0.27472,                0.83299,                0.91007,                0.64995,                0.69788,                 0.6045,                0.57908,                0.25244,                0.85381,              0.0010329,              0.0010329,              0.0010329
                     31,                0.61175,                0.28035,                0.83557,                0.91429,                0.66995,                0.70426,                0.60365,                0.57533,                0.25541,                0.85178,              0.0010187,              0.0010187,              0.0010187
                     32,                0.60408,                0.27779,                0.83809,                0.90304,                0.65591,                0.71576,                0.61303,                0.57655,                0.25368,                0.85169,              0.0010046,              0.0010046,              0.0010046
                     33,                0.60082,                0.27513,                0.83821,                0.90925,                0.65101,                0.70133,                0.60419,                0.58509,                0.25286,                0.85338,             0.00099044,             0.00099044,             0.00099044
                     34,                 0.5963,                  0.472,                0.83234,                0.91278,                0.65312,                0.71932,                0.62169,                0.58218,                0.25875,                0.85435,             0.00097629,             0.00097629,             0.00097629
                     35,                 0.6014,                 0.2759,                0.83679,                0.91211,                0.65172,                0.70926,                0.60614,                0.58392,                0.25193,                0.85468,             0.00096215,             0.00096215,             0.00096215
                     36,                0.60747,                 0.2758,                0.83699,                0.86951,                0.67112,                0.71456,                0.61078,                0.57294,                0.24833,                0.85199,               0.000948,               0.000948,               0.000948
                     37,                0.59511,                0.27147,                0.83381,                0.90635,                0.65232,                0.70348,                0.60682,                0.56578,                0.24904,                 0.8505,             0.00093385,             0.00093385,             0.00093385
                     38,                0.60301,                 0.2747,                0.83482,                0.90929,                0.64979,                0.70041,                0.60121,                0.56586,                0.24636,                0.85138,              0.0009197,              0.0009197,              0.0009197
