                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2761,                0.87616,                 1.0674,                0.97824,                 0.5764,                0.61587,                0.41166,                 1.2376,                0.52479,                 1.0872,             0.00047534,             0.00047534,             0.00047534
                      2,                 1.1356,                0.55723,                 1.0071,                0.64279,                0.58166,                0.61554,                0.45555,                0.89571,                0.44116,                0.95801,             0.00094225,             0.00094225,             0.00094225
                      3,                 1.0733,                0.51742,                0.98627,                 0.9744,                0.58739,                0.62313,                0.46683,                0.90707,                0.43138,                0.95706,              0.0013997,              0.0013997,              0.0013997
                      4,                 1.0567,                0.49339,                0.97637,                 0.9714,                0.58475,                0.63668,                0.40778,                 1.3281,                0.48531,                 1.1169,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.031,                0.47875,                0.97243,                0.90686,                0.60512,                0.63733,                 0.4639,                0.84884,                0.40465,                0.93575,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.0026,                0.47066,                0.96333,                0.90008,                0.61012,                 0.6399,                0.50192,                0.75368,                0.39569,                0.90743,              0.0013724,              0.0013724,              0.0013724
                      7,                0.96401,                0.44064,                 0.9481,                0.96533,                0.61987,                0.64826,                0.49956,                0.77434,                0.37862,                0.90778,              0.0013583,              0.0013583,              0.0013583
                      8,                 0.9899,                0.44512,                0.95043,                0.96911,                0.66309,                0.71863,                0.54317,                0.79236,                0.37641,                 0.9105,              0.0013441,              0.0013441,              0.0013441
                      9,                0.94889,                0.42442,                0.93626,                0.68957,                 0.6259,                0.64185,                0.49937,                0.75379,                0.35502,                0.90629,                0.00133,                0.00133,                0.00133
                     10,                0.94351,                0.42424,                0.93931,                0.74742,                0.62694,                0.64721,                0.50701,                0.76766,                0.34814,                0.90996,              0.0013158,              0.0013158,              0.0013158
                     11,                0.93181,                 0.4119,                0.93236,                0.88596,                0.60906,                0.64547,                0.51238,                0.73991,                 0.3429,                0.90268,              0.0013017,              0.0013017,              0.0013017
                     12,                0.91304,                0.40455,                0.93168,                0.86545,                0.60281,                0.64045,                0.51153,                0.74435,                 0.3501,                0.90063,              0.0012875,              0.0012875,              0.0012875
                     13,                0.93111,                0.41292,                 0.9354,                0.93462,                0.60935,                0.64814,                0.49977,                0.74189,                0.33838,                0.90838,              0.0012734,              0.0012734,              0.0012734
                     14,                0.92406,                0.40904,                0.93345,                0.97682,                0.66931,                0.71695,                0.55044,                 0.7527,                0.33978,                0.90428,              0.0012592,              0.0012592,              0.0012592
                     15,                0.89319,                0.39808,                0.92739,                0.93291,                 0.6318,                0.68772,                 0.5472,                0.72279,                0.33517,                 0.8979,              0.0012451,              0.0012451,              0.0012451
                     16,                0.91008,                 0.4062,                0.93014,                0.90738,                0.67237,                0.72748,                0.56187,                0.72793,                0.33502,                0.90087,              0.0012309,              0.0012309,              0.0012309
                     17,                0.88595,                0.39046,                0.91647,                0.95571,                 0.6196,                0.66816,                0.54286,                0.68535,                0.31568,                0.88724,              0.0012168,              0.0012168,              0.0012168
                     18,                0.86022,                0.38427,                0.91776,                0.83791,                0.65387,                0.67001,                0.53636,                0.71416,                0.33093,                0.89188,              0.0012026,              0.0012026,              0.0012026
                     19,                0.87335,                0.38683,                0.91945,                0.88072,                0.65267,                0.67435,                0.54329,                0.70635,                0.31825,                0.89366,              0.0011885,              0.0011885,              0.0011885
                     20,                0.86372,                0.37985,                0.91556,                 0.8711,                0.64028,                0.66946,                0.54417,                0.71216,                0.31533,                0.89063,              0.0011744,              0.0011744,              0.0011744
                     21,                 0.8651,                0.37962,                0.91615,                 0.8935,                0.63346,                0.66805,                0.53152,                 0.6872,                0.31241,                0.88785,              0.0011602,              0.0011602,              0.0011602
                     22,                0.85199,                0.37447,                0.91053,                0.80344,                0.65186,                0.67404,                0.54958,                0.69506,                 0.3173,                0.88456,              0.0011461,              0.0011461,              0.0011461
                     23,                0.85506,                0.37338,                0.90977,                0.94503,                0.72914,                0.76365,                0.60058,                0.67972,                0.31671,                 0.8812,              0.0011319,              0.0011319,              0.0011319
                     24,                0.84855,                0.37023,                0.91053,                0.88995,                0.63104,                 0.6734,                0.55095,                0.71319,                0.31631,                0.88998,              0.0011178,              0.0011178,              0.0011178
                     25,                0.85978,                0.37217,                 0.9095,                0.85066,                0.65093,                0.67174,                 0.5535,                0.68849,                0.30922,                0.88312,              0.0011036,              0.0011036,              0.0011036
                     26,                0.84434,                 0.3688,                0.90735,                0.86932,                0.63035,                0.67058,                0.55078,                0.72045,                0.31524,                0.89198,              0.0010895,              0.0010895,              0.0010895
                     27,                0.84046,                0.36489,                0.90636,                 0.8816,                0.63137,                0.67412,                0.55056,                0.66037,                0.30675,                0.87872,              0.0010753,              0.0010753,              0.0010753
